URLs,Class
http://tarapropertiesllc.com/jumbo/LoginVerification.php...,Malicious
http://taylortea.com/wp-content/plugins/akismet/cehe/details.php?LOB=R...,Malicious
http://hiroba.dqx.jp.isrel.usa.cc/account/app/svc/login.html...,Malicious
http://resumeresources.ca/,Benign
http://camec.ru/wp-content/googledocs,Malicious
http://notification-account.com.smk-diponegoro.sch.id/...,Malicious
http://www.roadrunners.pl/media/auth/df8207c6ca6b56bf1722993f66864b08/...,Malicious
http://customprint.in/catalog/language/spanish/module/sign.htm...,Malicious
http://www.numbertheory.org/ntw/,Benign
http://www.dlcomp.com/images/Fine/DpBoxtbtrich/dropbox/index.php...,Malicious
http://www.balicrafters.com/,Benign
http://www.van-sant.si/components/com_akeeba/controllers/drive/auth/vi...,Malicious
http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,Malicious
http://integratedhost.com/update/gmail/login.php?l=_JeHFUq_VJOXK0QWHto...,Malicious
http://www.rockdaledrivingschool.com.au/BOA/Signin.htm...,Malicious
http://www.ametsoc.org/pubs/books/index.html,Benign
http://hymesh.net/listfinancial/,Malicious
http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,Malicious
http://bmwusfactory.com/,Benign
http://gosgmart.com/image/catalog/demo/product/-/direction-general/red...,Malicious
http://www.xbridge.com/,Benign
http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb...,Malicious
http://agricole-service.fr/particuliers/security/g2e36g_information/up...,Malicious
http://www.picture-disc.co.uk/,Benign
http://cutsnakecatering.com/oh/,Malicious
http://bmorrison.hickoryground.com.inews.report/ni/e4bea1e585910da8f8f...,Malicious
http://empiredesigns.ph/wp-includes/js/jcrop/aol/index.htm...,Malicious
http://www.puddinhill.com/,Benign
http://secure.square.loginzdqx.usa.cc/,Malicious
http://www.bimbobakeriesusa.com/,Benign
http://www.mamaefotografaexpert.com/~fezna329/seguroautoBB/login.do256...,Malicious
http://www.bluedogzdesign.com/,Benign
http://www.genoptim.narod.ru/ENG/,Benign
http://www.cityofdreams.com.ua/tmp/pa/8ar0rvpnelq9m6mfk5nhdcoxyg8a5hzb...,Malicious
http://www.physicspost.com/,Benign
http://onebeautystore.com.br/downloader/lib/Mage/Backup/Exception/norm...,Malicious
http://smp2wonosari.sch.id/elearning/ch/,Malicious
http://web.kiaanevents.com/pagedoc/fea2120b4a8d260c09aefc63bf36941d...,Malicious
https://www.googlemerchandisestore.com/,Benign
http://koausa.org/Proverbs/proverbs.html,Benign
http://hiroba.dqx.jp.zicrl.usa.cc/,Malicious
http://web.kiaanevents.com/pagedoc/f69c6e98fb234fcaa7a139de2d3e9352...,Malicious
http://www.syvum.com/kmsl1/,Benign
http://www.ouidad.com/,Benign
http://plato.stanford.edu/entries/sovereignty/,Benign
http://www.farleaves.com/,Benign
http://paypal.com-country-x.de/webapps/552199771/id/obj/proceed/form...,Malicious
http://www.mathisfunforum.com/,Benign
http://spacebuilders-lb.com/baddo/G.Docs/index.php...,Malicious
http://www.netmedicos.com/,Benign
http://bookkeepers.directory/mama/mama/0af42c585cba168c6ca0b08403443d2...,Malicious
http://anwia.pl/aol/index.htm,Malicious
http://www.tablettamiriizmir.com/us/LOGlNlD/Iogon/nav/auto_auth/lNT/si...,Malicious
http://www.domyresume.com/,Benign
http://evangelistaadvogados.com.br/newdrop/deiswe/...,Malicious
http://www.softwareburner.de/softwareburner.htm,Benign
http://ganiinc.co.za/abdominsubommc/drop/wdd/date/...,Malicious
http://www.fftw.org/,Benign
http://www.whispersinthecorridors.com/,Benign
http://kenderaztato.hu/wp-content/plugins/wp/olbtxz-Authentication-Sig...,Malicious
http://ns4.pvtns.com/nama/dropbox/,Malicious
http://www.gyrogeo.com/n4,Malicious
http://killerbeans.com/,Benign
http://www.mitek.co.zw/libraries/course/mycours.htm...,Malicious
http://www.bobbymooreonline.co.uk/,Benign
http://cmfri.org.in/invitation/excel/excel.php?rand=13inboxlightaspxn....,Malicious
http://www.yarracoffee.com.au/,Benign
http://46.4.34.205/velo/tmp/v/,Malicious
http://nooterconstruction.com/cr/Gdoccc/index.php...,Malicious
http://www.cariboucoffee.com/,Benign
http://swarnajayanthiosa.lk/kl/dpbx/dpbx,Malicious
http://mu5436y.at.ua/incorrect_email.html,Malicious
http://www.whiterose.co.th/,Benign
http://mytpu.com.au/js/lib/gkmjg.php,Malicious
http://e-drexler.com/p/idx04/00/0404drexlerBioCV.html,Benign
http://pivnet.dlr.de/,Benign
http://www.theatre-reviews.co.uk/,Benign
http://savingfaithchurch.org/wp-content/plugins/update/products/index....,Malicious
http://www.facebooks.cloud/PayPlls.CEanada.tNZnZZlR3ZdyZZ-5RkZZDRTZZBy...,Malicious
http://www.icloudbrasil.com/,Malicious
http://www.concordiaexpeditions.com/luckypilot/,Benign
http://www.billposas.com/2016/document.php,Malicious
http://www.jackstackbbq.com/,Benign
http://www.coffeefool.com/,Benign
http://appleid.apple.com-subscriptions.manager8040477235.bertovic.com....,Malicious
http://www.madridismo.org/,Benign
http://www.cicr-icrc.ca/,Benign
http://news.bbc.co.uk/sport1/hi/football/teams/m/man_city/6241052.stm,Benign
http://10215648.2fh.co/Log.php,Malicious
http://dekanas.eu/delivery/ussaa/www_usaa_come/inetlogon/servelet_usaa...,Malicious
http://www.grc.nasa.gov/WWW/K-12/airplane/nseqs.html,Benign
http://www.broadwayworld.com/photogame.cfm,Benign
http://lakepineoral.com/junk/Account/update/documents/4c2374a223ff8bd4...,Malicious
http://www.indiagazette.com/,Benign
http://www.surplusglobal.com/,Benign
http://chilipepperindian.com.au/log/index.htm,Malicious
http://polaresoficial.com.br/site/wp-content/languages/themes/Zone1/...,Malicious
http://www.bayanone.net/aa/22/33/44/,Malicious
http://tea-room.stores.yahoo.net/,Benign
http://www.gamemalamall.com/zzzdpcm/adobe,Malicious
http://phalconwellness.com/2/online.wellsfargo.secure.userrstore894398...,Malicious
http://www.teutoburgo.tk/java/otp4u.html,Benign
http://www.realcoffee.co.uk/,Benign
http://spiritualbeatz.com/wp-includes/pomo/page/...,Malicious
http://librarylions.com/aall/aall/X1z0,Malicious
http://www.americanlibraryinparis.org/,Benign
http://www.searchenginesindex.com/,Benign
http://www.hailcotton.com/,Benign
http://www.scholarshipsinindia.com/,Benign
http://www.portwine.com/,Benign
http://www.teteas.com/,Benign
http://blocking5472.at.ua/invalid.html,Malicious
http://www.buztronics.com/,Benign
http://www.emalbosaat.com/system/logs/aol/,Malicious
http://www.nlm.nih.gov/,Benign
http://forest-camp.ru/wp-admin/network/uxc/Auto/newpage/index.php?;ema...,Malicious
http://handasapc.com/htd12.html,Malicious
http://www.russellstover.com/,Benign
http://bearo.rareneos.com/poski/,Malicious
http://www.harry-b.de/dokuwiki/doku.php?id=harry:cpm,Benign
http://www.emis.de/projects/JFM/,Benign
http://diarplast.com.ar/assets/frontend/onepage/img/nD/index.php...,Malicious
http://www.ournepal.info/joomla/includes/Archive/NATWEST/submit2.php...,Malicious
http://www.ibm.com/software/awdtools/hlasm/,Benign
http://www.forbes.com/private500/,Benign
http://jhs82.com/images/dropbox,Malicious
http://www.ipcs.org/,Benign
http://www.bloomsbythebox.com/,Benign
http://www.flyingbean.com/,Benign
http://www.ladyprimrose.com/,Benign
http://random.finemedia.com.hk/,Malicious
http://fhdk.simply-winspace.it/postal/fr/manage.compte/...,Malicious
http://www.property-dealer.com/,Benign
http://www.seagullcooling.com/,Benign
http://www.solopublications.com/journal.htm,Benign
http://betsyvintage.com/,Benign
http://www.earththerapeutics.com/,Benign
http://nankanasahibsrsecschoolbudhewal.com/admin1/images/m2uSession/m2...,Malicious
http://en.wikipedia.org/wiki/Google,Benign
http://www.cis.upenn.edu/~giorgi/cl.html,Benign
http://batesrealty.ca/logs.inf,Malicious
http://www.barcaforum.com/,Benign
http://www.saab.com/,Benign
http://www.irastrum.com/wp-admin/mail.yahoo.com/...,Malicious
http://www.alhansen.com/,Benign
http://realmadridzone.blogspot.com/,Benign
http://lcham.co.uk/rss.php,Malicious
http://therepublikofmancunia.com/,Benign
http://www.rbsmentor.co.uk/,Benign
http://qualyprintbh.com.br/formulario/,Malicious
